contact_id,brief_id,level,lsm,overlap,chars
5,26,6,0.4986,0.2,236
5,10,6,0.5004,0.1,369
428,1,0,,,330
428,26,0,,,105
428,10,0,,,341
428,1,1,,,351
428,26,1,,,124
428,10,1,,,360
428,1,2,,,352
428,26,2,,,126
428,10,2,,,362
428,1,3d,,,350
38,1,0,0.6824,0.0,330
38,26,0,0.4187,0.0,105
38,10,0,0.516,0.0,341
38,1,1,0.6712,0.0,341
38,26,1,0.4336,0.0,115
38,10,1,0.5195,0.0,350
38,1,2,0.6712,0.0,338
38,26,2,0.4336,0.0,117
38,10,2,0.5129,0.0,352
38,1,3a,0.6712,0.0,338
38,26,3b,0.4336,0.0,117
38,26,3c,0.4336,0.0,117
38,1,3,0.6712,0.0,338
38,26,3,0.4336,0.0,116
38,10,3,0.4942,0.05,349
38,26,4,0.4336,0.0,114
38,1,5,0.6634,0.0,353
38,26,5,0.4336,0.0,112
38,10,5,0.5106,0.05,247
38,26,6a,0.5128,0.1,184
38,26,6b,0.4397,0.0,121
38,10,6c,0.493,0.05,240
38,26,6d,0.4386,0.2,320
38,1,6,0.5197,0.25,377
38,26,6,0.5042,0.15,211
38,10,6,0.5619,0.1,362
44,1,0,0.652,0.0,330
44,26,0,0.3968,0.0,105
44,10,0,0.4818,0.0,341
44,1,1,0.6468,0.0,343
44,26,1,0.4145,0.0,117
44,10,1,0.485,0.0,352
44,1,2,0.6468,0.0,340
44,26,2,0.4145,0.0,119
44,10,2,0.485,0.0,351
44,1,3a,0.6649,0.05,371
44,26,3b,0.4145,0.0,119
44,26,3c,0.4145,0.0,118
44,1,3,0.6649,0.05,370
44,26,3,0.4145,0.0,116
44,10,3,0.485,0.0,349
44,26,4,0.4118,0.0,128
44,1,5,0.4675,0.1,285
44,26,5,0.4118,0.0,124
44,10,5,0.4622,0.0,277
44,26,6a,0.5005,0.05,237
44,26,6b,0.5148,0.05,146
44,10,6c,0.4564,0.05,263
44,26,6d,0.4349,0.05,272
44,1,6,0.5274,0.15,287
44,26,6,0.4909,0.0,178
44,10,6,0.4895,0.05,381
46,1,0,0.666,0.0,330
46,26,0,0.3973,0.0,105
46,10,0,0.5229,0.05,341
46,1,1,0.6548,0.0,343
46,26,1,0.4098,0.0,117
46,10,1,0.5212,0.05,352
46,1,2,0.6493,0.0,341
46,26,2,0.4098,0.0,119
46,10,2,0.5212,0.05,351
46,1,3a,0.6493,0.05,352
46,26,3b,0.4098,0.0,119
46,26,3c,0.4098,0.0,118
46,1,3,0.6493,0.05,352
46,26,3,0.4098,0.0,116
46,10,3,0.4962,0.1,351
46,26,4,0.5213,0.05,135
46,1,5,0.6429,0.05,416
46,26,5,0.4158,0.0,123
46,10,5,0.4638,0.05,253
46,26,6a,0.4761,0.1,213
46,26,6b,0.4098,0.0,118
46,10,6c,0.494,0.05,251
46,26,6d,0.3736,0.1,306
46,1,6,0.5546,0.15,396
46,26,6,0.4748,0.15,251
46,10,6,0.5565,0.15,298
431,1,0,,,330
431,26,0,,,105
431,10,0,,,341
431,1,1,,,343
431,26,1,,,117
431,10,1,,,352
431,1,2,,,340
431,26,2,,,119
431,10,2,,,351
4,1,0,0.6246,0.0,330
4,26,0,0.415,0.0,105
4,10,0,0.5198,0.0,341
4,1,1,0.6126,0.0,341
4,26,1,0.428,0.0,115
4,10,1,0.5235,0.0,351
4,1,2,0.6126,0.0,339
4,26,2,0.428,0.0,117
4,10,2,0.5235,0.0,347
4,1,3a,0.6126,0.0,339
4,26,3b,0.428,0.0,116
4,26,3c,0.428,0.0,117
4,1,3d,0.6126,0.0,339
4,1,3,0.6126,0.0,339
4,26,3,0.428,0.0,112
4,10,3,0.4976,0.05,349
4,26,4,0.428,0.0,114
4,1,5,0.6202,0.1,361
4,26,5,0.5291,0.0,164
4,10,5,0.5141,0.0,247
4,26,6a,0.5747,0.1,222
4,26,6b,0.428,0.0,112
