run,regime,protocol,arm,title,branch,customers,hits_top5,hits_top10,hr_top10,ci95_low,ci95_high,ndcg10,mrr10,hidden_in_top30,hidden_in_top200,seconds
2026-09-07-arena-crm-population-12-arms-en-cs-425-customers,crm,sampled,naive_bayes,Naive Bayes over the purchase history,cs,425,69,91,0.2141,0.1778,0.2556,0.1388,0.1157,,,5.7
2026-09-07-arena-crm-population-12-arms-en-cs-425-customers,crm,full,naive_bayes,Naive Bayes over the purchase history,en,425,2,4,0.0094,0.0037,0.0239,0.0039,0.0023,10,40,5.7
2026-09-07-arena-crm-population-12-arms-en-cs-425-customers,crm,sampled,naive_bayes,Naive Bayes over the purchase history,en,425,69,91,0.2141,0.1778,0.2556,0.1388,0.1157,,,5.7
2026-09-07-arena-crm-population-12-arms-en-cs-425-customers,crm,full,popularity,Most-bought products,cs,425,1,1,0.0024,0.0004,0.0132,0.0009,0.0005,5,33,0.0
2026-09-07-arena-crm-population-12-arms-en-cs-425-customers,crm,sampled,popularity,Most-bought products,cs,425,88,125,0.2941,0.2528,0.3391,0.1647,0.125,,,0.0
2026-09-07-arena-crm-population-12-arms-en-cs-425-customers,crm,full,popularity,Most-bought products,en,425,1,1,0.0024,0.0004,0.0132,0.0009,0.0005,5,33,0.0
2026-09-07-arena-crm-population-12-arms-en-cs-425-customers,crm,sampled,popularity,Most-bought products,en,425,88,125,0.2941,0.2528,0.3391,0.1647,0.125,,,0.0
2026-09-07-arena-crm-population-12-arms-en-cs-425-customers,crm,full,svd_mf,SVD matrix factorisation,cs,425,4,6,0.0141,0.0065,0.0305,0.0079,0.006,16,48,0.0
2026-09-07-arena-crm-population-12-arms-en-cs-425-customers,crm,sampled,svd_mf,SVD matrix factorisation,cs,425,89,125,0.2941,0.2528,0.3391,0.1836,0.15,,,0.0
2026-09-07-arena-crm-population-12-arms-en-cs-425-customers,crm,full,svd_mf,SVD matrix factorisation,en,425,4,6,0.0141,0.0065,0.0305,0.0079,0.006,16,48,0.0
